Reference 1,# Expected,# Received,# Correct,Received Date
023100,50,50,50,09/06/2026 12:15:39 PM
023101,57,56,56,09/06/2026 12:15:39 PM
023102,24,26,24,09/06/2026 12:15:39 PM
023103,16,16,14,09/06/2026 12:15:39 PM
023104,44,46,44,09/06/2026 12:15:39 PM
023105,37,27,27,09/06/2026 12:15:39 PM
023106,11,11,11,09/06/2026 12:15:39 PM
023107,24,24,22,09/06/2026 12:15:39 PM
023108,11,9,9,09/06/2026 12:15:39 PM
023109,55,2,0,09/06/2026 12:15:39 PM
023110,54,53,52,09/06/2026 12:15:39 PM
023111,24,25,23,09/06/2026 12:15:39 PM
023112,27,27,27,09/06/2026 12:15:39 PM
023113,54,54,53,09/06/2026 12:15:39 PM
023114,27,27,27,09/06/2026 12:15:39 PM
023115,58,57,57,09/06/2026 12:15:39 PM
023116,15,14,14,09/06/2026 12:15:39 PM
Unexpected_DEMO_2026-09-06 12-15-39,0,8,0,09/06/2026 12:15:39 PM
